time,sst
1907-12-01,22.073698
1908-01-01,23.05557
1908-02-01,22.972069
1908-03-01,22.755335
1908-04-01,22.346075
1908-05-01,21.44329
1908-06-01,20.28999
1908-07-01,19.434843
1908-08-01,18.959826
1908-09-01,18.981339
1908-10-01,19.790642
1908-11-01,20.88876
1908-12-01,21.422974
1909-01-01,22.472534
1909-02-01,22.957197
1909-03-01,22.729265
1909-04-01,22.019766
1909-05-01,21.201355
1909-06-01,20.455141
1909-07-01,19.836725
1909-08-01,19.54084
1909-09-01,19.804564
1909-10-01,20.476112
1909-11-01,21.328537
1909-12-01,22.053062
1910-01-01,22.957441
1910-02-01,23.198309
1910-03-01,22.920668
1910-04-01,22.548054
1910-05-01,21.626362
1910-06-01,20.69393
1910-07-01,20.017448
1910-08-01,19.486835
1910-09-01,19.707994
1910-10-01,20.35684
1910-11-01,21.25521
1910-12-01,21.790733
1911-01-01,22.486753
1911-02-01,23.06054
1911-03-01,23.054384
1911-04-01,22.264389
1911-05-01,21.493883
1911-06-01,20.319567
1911-07-01,19.57779
1911-08-01,19.250368
1911-09-01,19.343605
1911-10-01,20.038074
1911-11-01,20.995644
1911-12-01,22.024157
1912-01-01,22.598251
1912-02-01,23.305182
1912-03-01,22.963278
1912-04-01,22.40138
1912-05-01,21.50741
1912-06-01,20.598475
1912-07-01,19.89344
1912-08-01,19.454437
1912-09-01,19.548973
1912-10-01,20.147558
1912-11-01,21.303297
1912-12-01,22.14952
1913-01-01,22.56201
1913-02-01,22.89146
1913-03-01,22.724062
1913-04-01,22.359346
1913-05-01,21.299788
1913-06-01,20.455633
1913-07-01,19.544683
1913-08-01,19.282343
1913-09-01,19.418959
1913-10-01,20.117146
1913-11-01,21.051485
1913-12-01,21.908949
1914-01-01,22.440916
1914-02-01,22.893091
1914-03-01,23.058971
1914-04-01,22.543915
1914-05-01,21.643164
1914-06-01,20.584597
1914-07-01,19.60448
1914-08-01,19.284538
1914-09-01,19.397171
1914-10-01,20.446209
1914-11-01,21.583744
1914-12-01,22.551178
1915-01-01,23.36215
1915-02-01,23.685326
1915-03-01,23.378405
1915-04-01,22.80088
1915-05-01,21.656746
1915-06-01,20.8427
1915-07-01,20.037054
1915-08-01,19.639313
1915-09-01,19.842516
1915-10-01,20.320782
1915-11-01,21.14902
1915-12-01,22.099178
1916-01-01,22.812151
1916-02-01,23.183016
1916-03-01,23.05309
1916-04-01,22.435286
1916-05-01,21.355623
1916-06-01,20.509562
1916-07-01,20.001154
1916-08-01,19.823221
1916-09-01,20.047152
1916-10-01,20.675634
1916-11-01,21.518717
1916-12-01,22.20022
1917-01-01,22.668463
1917-02-01,22.887272
1917-03-01,22.874252
1917-04-01,22.295809
1917-05-01,21.45783
1917-06-01,20.458544
1917-07-01,19.758924
1917-08-01,19.85339
1917-09-01,19.9447
1917-10-01,20.426802
1917-11-01,21.46956
1917-12-01,22.3124
1918-01-01,23.193293
1918-02-01,23.117846
1918-03-01,23.053692
1918-04-01,22.539509
1918-05-01,21.712465
1918-06-01,20.66588
1918-07-01,20.18863
1918-08-01,19.492636
1918-09-01,19.680183
1918-10-01,20.46803
1918-11-01,21.611341
1918-12-01,22.362738
1919-01-01,23.005312
1919-02-01,23.244984
1919-03-01,23.123112
1919-04-01,22.487114
1919-05-01,21.801039
1919-06-01,20.581648
1919-07-01,19.727837
1919-08-01,19.289812
1919-09-01,19.29224
1919-10-01,19.996328
1919-11-01,21.04267
1919-12-01,22.2516
1920-01-01,22.686312
1920-02-01,22.96091
1920-03-01,22.90368
1920-04-01,22.432001
1920-05-01,21.557903
1920-06-01,20.691229
1920-07-01,20.014116
1920-08-01,19.56253
1920-09-01,19.95822
1920-10-01,20.727856
1920-11-01,21.81455
1920-12-01,22.66228
1921-01-01,23.081352
1921-02-01,23.37419
1921-03-01,23.14363
1921-04-01,22.706089
1921-05-01,22.072906
1921-06-01,21.58399
1921-07-01,20.544012
1921-08-01,20.049711
1921-09-01,20.201527
1921-10-01,20.718298
1921-11-01,21.533642
1921-12-01,22.421217
1922-01-01,22.90459
1922-02-01,23.216585
1922-03-01,23.049482
1922-04-01,22.605793
1922-05-01,21.761839
1922-06-01,20.738304
1922-07-01,19.857836
1922-08-01,19.346916
1922-09-01,19.623756
1922-10-01,20.463116
1922-11-01,21.417858
1922-12-01,22.181295
1923-01-01,22.59562
1923-02-01,23.011444
1923-03-01,22.949076
1923-04-01,22.499249
